synset,basicness
war.n.01,0.5714285714285714
fiefdom.n.01,0.5384615384615384
bed.n.03,0.5454545454545454
return_on_invested_capital.n.01,0.5384615384615384
texture.n.02,0.5263157894736843
news.n.01,0.5454545454545454
look.n.02,0.5294117647058824
caddy.n.01,0.5294117647058824
weeder.n.01,0.5238095238095238
avenue.n.02,0.5263157894736843
adar.n.01,0.5333333333333333
bedtime.n.01,0.5263157894736843
inversion.n.08,0.5294117647058824
yak.n.01,0.5333333333333333
breath.n.05,0.5238095238095238
executive_clemency.n.01,0.5454545454545454
muse.n.02,0.5294117647058824
effect.n.06,0.5333333333333333
quickening.n.02,0.5454545454545454
sleeper.n.09,0.5238095238095238
caravanning.n.01,0.5263157894736843
jotter.n.01,0.5263157894736843
armageddon.n.02,0.5625
compass_point.n.01,0.5454545454545454
blackwater_fever.n.01,0.5217391304347826
respect.n.03,0.5454545454545454
position.n.06,0.5333333333333333
message.n.02,0.5714285714285714
arrest.n.02,0.5454545454545454
motivation.n.01,0.5714285714285714
day.n.04,0.5454545454545454
nose_cone.n.01,0.5294117647058824
discussion.n.02,0.5454545454545454
glow.n.05,0.5217391304347826
alcalde.n.01,0.5384615384615384
draft_board.n.01,0.5263157894736843
multitude.n.03,0.5714285714285714
hour.n.02,0.5294117647058824
book.n.02,0.5333333333333333
degree.n.02,0.5555555555555556
show-stopper.n.01,0.5294117647058824
military_position.n.01,0.5454545454545454
top.n.09,0.5384615384615384
pillar_of_islam.n.01,0.5263157894736843
power.n.05,0.5714285714285714
dail_eireann.n.01,0.5294117647058824
record.n.05,0.5384615384615384
pace.n.03,0.5454545454545454
american_labor_party.n.01,0.5384615384615384
nook_and_cranny.n.01,0.5333333333333333
lady's_smock.n.01,0.52
obstacle_race.n.01,0.5294117647058824
clasp.n.02,0.5294117647058824
stuff.n.07,0.5384615384615384
succubus.n.01,0.5238095238095238
form.n.03,0.5454545454545454
quantity.n.02,0.5384615384615384
commercial_enterprise.n.02,0.5625
distaff.n.01,0.5333333333333333
company.n.01,0.5384615384615384
hammerlock.n.01,0.5217391304347826
fact.n.01,0.5454545454545454
niche.n.01,0.5333333333333333
pinnacle.n.03,0.5333333333333333
function.n.03,0.5294117647058824
male_child.n.01,0.5454545454545454
direction.n.06,0.5555555555555556
violence.n.01,0.5333333333333333
shape.n.01,0.5454545454545454
movie.n.01,0.5714285714285714
impudence.n.01,0.5454545454545454
movement.n.04,0.5555555555555556
argument.n.05,0.5294117647058824
esteem.n.01,0.5333333333333333
viewing_audience.n.01,0.5454545454545454
incipiency.n.01,0.5454545454545454
fire.n.02,0.5294117647058824
handle.n.01,0.5454545454545454
course.n.01,0.5333333333333333
latest.n.01,0.5384615384615384
means.n.01,0.5384615384615384
rate.n.01,0.5555555555555556
monetary_value.n.01,0.5384615384615384
dwelling.n.01,0.5333333333333333
test.n.05,0.5333333333333333
peroration.n.02,0.5333333333333333
light.n.01,0.5238095238095238
accompaniment.n.02,0.5333333333333333
fall.n.06,0.5294117647058824
rainbow.n.02,0.5294117647058824
stationary_stochastic_process.n.01,0.5238095238095238
assessment.n.03,0.5333333333333333
decision.n.01,0.5333333333333333
homo_sapiens.n.01,0.5172413793103448
management.n.01,0.5714285714285714
touch.n.10,0.5333333333333333
pommel.n.01,0.5384615384615384
blood_brother.n.02,0.5333333333333333
homo.n.02,0.5185185185185186
say.n.01,0.5333333333333333
descant.n.01,0.5294117647058824
increase.n.03,0.5714285714285714
board.n.01,0.5294117647058824
rescript.n.01,0.5384615384615384
reaction.n.03,0.5454545454545454
exploitation.n.01,0.5333333333333333
weather.n.01,0.5333333333333333
schutzstaffel.n.01,0.5333333333333333
antilogarithm.n.01,0.5384615384615384
helpmate.n.01,0.5384615384615384
bill.n.03,0.5294117647058824
hegemon.n.01,0.5263157894736843
word.n.01,0.5454545454545454
real_world.n.01,0.5333333333333333
car.n.01,0.5238095238095238
sign.n.01,0.5384615384615384
handwriting.n.01,0.5454545454545454
hit.n.03,0.5263157894736843
boucle.n.01,0.5384615384615384
doggedness.n.01,0.5384615384615384
attempt.n.01,0.5384615384615384
town.n.01,0.5294117647058824
aid.n.02,0.5384615384615384
conservatory.n.02,0.5294117647058824
art.n.03,0.5384615384615384
toilet.n.01,0.5294117647058824
year.n.01,0.5454545454545454
process.n.05,0.5454545454545454
hope.n.02,0.5454545454545454
line.n.29,0.5294117647058824
base.n.08,0.5294117647058824
speech.n.02,0.5555555555555556
basis.n.02,0.5263157894736843
lineage.n.01,0.5384615384615384
afternoon.n.01,0.5384615384615384
colonialist.n.01,0.5333333333333333
poverty_trap.n.01,0.5384615384615384
thinking.n.01,0.5384615384615384
affray.n.02,0.5625
demonstrative_pronoun.n.01,0.5294117647058824
ladies'_room.n.01,0.5333333333333333
burg.n.01,0.5263157894736843
higher_law.n.01,0.5333333333333333
doubleton.n.01,0.5263157894736843
woman.n.01,0.5454545454545454
fight.n.02,0.5714285714285714
playing_field.n.02,0.5333333333333333
road_rage.n.01,0.5294117647058824
cusp.n.01,0.5294117647058824
guess.n.02,0.5238095238095238
businessmen.n.01,0.5333333333333333
strait.n.01,0.5454545454545454
narrow.n.01,0.5384615384615384
left.n.02,0.5333333333333333
sound.n.01,0.5454545454545454
military_action.n.01,0.5833333333333333
second_nature.n.01,0.5263157894736843
friend.n.01,0.5555555555555556
branch.n.03,0.5384615384615384
outtake.n.01,0.5263157894736843
edition.n.03,0.5217391304347826
card.n.08,0.5333333333333333
gazette.n.01,0.5238095238095238
penny_ante.n.01,0.5625
double_blind.n.01,0.5294117647058824
mainstream.n.01,0.5333333333333333
shooting.n.01,0.5384615384615384
cantle.n.01,0.5263157894736843
countenance.n.03,0.5333333333333333
strand.n.01,0.5384615384615384
stature.n.01,0.5294117647058824
meaning.n.02,0.5384615384615384
glissade.n.01,0.5238095238095238
footrace.n.01,0.5333333333333333
deal.n.01,0.5714285714285714
room.n.01,0.5333333333333333
school.n.02,0.5333333333333333
sum.n.01,0.5454545454545454
circumstance.n.03,0.5454545454545454
stripe.n.04,0.5263157894736843
link.n.06,0.5294117647058824
predetermination.n.02,0.5263157894736843
kin.n.01,0.5454545454545454
relative.n.01,0.5555555555555556
mafia.n.01,0.5384615384615384
child.n.01,0.5454545454545454
eastern_church.n.02,0.5263157894736843
chine.n.02,0.5294117647058824
pop_quiz.n.01,0.5294117647058824
shiva.n.01,0.5384615384615384
bonding.n.02,0.5294117647058824
artwork.n.01,0.5555555555555556
start.n.01,0.5384615384615384
probability.n.01,0.5714285714285714
meat_and_potatoes.n.01,0.5238095238095238
part.n.09,0.5333333333333333
myringotomy.n.01,0.5263157894736843
